Year,ISO_Code,Temperature,Humidity,Wind_Speed,Solar_Radiation,Temp_Lag1,Humidity_Lag1,Wind_Lag1,Solar_Lag1,Temp_Lag2,Humidity_Lag2,Wind_Lag2,Solar_Lag2,Temp_Lag3,Humidity_Lag3,Wind_Lag3,Solar_Lag3,Temp_Lag4,Humidity_Lag4,Wind_Lag4,Solar_Lag4,Temp_Lag5,Humidity_Lag5,Wind_Lag5,Solar_Lag5
2012,AGO,25.28967213,79.0852459,3.535300546,4.774471311,25.20882192,80.23057534,3.30660274,4.664136712,25.4209863,80.7050411,3.331452055,4.896898082,25.60567123,79.2569589,3.518438356,4.814072603,25.64909836,78.34177596,3.508961749,4.969888251,25.54071233,80.81961644,3.521342466,4.833885479
2013,AGO,25.0810411,80.66375342,3.337835616,4.79966137,25.28967213,79.0852459,3.535300546,4.774471311,25.20882192,80.23057534,3.30660274,4.664136712,25.4209863,80.7050411,3.331452055,4.896898082,25.60567123,79.2569589,3.518438356,4.814072603,25.64909836,78.34177596,3.508961749,4.969888251
2014,AGO,25.43315068,78.04589041,3.591150685,4.820243836,25.0810411,80.66375342,3.337835616,4.79966137,25.28967213,79.0852459,3.535300546,4.774471311,25.20882192,80.23057534,3.30660274,4.664136712,25.4209863,80.7050411,3.331452055,4.896898082,25.60567123,79.2569589,3.518438356,4.814072603
2015,AGO,25.40068493,78.5650137,3.587315068,4.480558904,25.43315068,78.04589041,3.591150685,4.820243836,25.0810411,80.66375342,3.337835616,4.79966137,25.28967213,79.0852459,3.535300546,4.774471311,25.20882192,80.23057534,3.30660274,4.664136712,25.4209863,80.7050411,3.331452055,4.896898082
2016,AGO,26.15855191,77.9036612,3.570163934,4.871816667,25.40068493,78.5650137,3.587315068,4.480558904,25.43315068,78.04589041,3.591150685,4.820243836,25.0810411,80.66375342,3.337835616,4.79966137,25.28967213,79.0852459,3.535300546,4.774471311,25.20882192,80.23057534,3.30660274,4.664136712
2017,AGO,25.59660274,77.49726027,3.603260274,4.895382192,26.15855191,77.9036612,3.570163934,4.871816667,25.40068493,78.5650137,3.587315068,4.480558904,25.43315068,78.04589041,3.591150685,4.820243836,25.0810411,80.66375342,3.337835616,4.79966137,25.28967213,79.0852459,3.535300546,4.774471311
2018,AGO,25.86405479,78.74652055,3.384383562,4.875721096,25.59660274,77.49726027,3.603260274,4.895382192,26.15855191,77.9036612,3.570163934,4.871816667,25.40068493,78.5650137,3.587315068,4.480558904,25.43315068,78.04589041,3.591150685,4.820243836,25.0810411,80.66375342,3.337835616,4.79966137
2019,AGO,26.32671233,77.28172603,3.616684932,4.897013425,25.86405479,78.74652055,3.384383562,4.875721096,25.59660274,77.49726027,3.603260274,4.895382192,26.15855191,77.9036612,3.570163934,4.871816667,25.40068493,78.5650137,3.587315068,4.480558904,25.43315068,78.04589041,3.591150685,4.820243836
2020,AGO,26.36631148,77.60319672,3.482486339,4.845674317,26.32671233,77.28172603,3.616684932,4.897013425,25.86405479,78.74652055,3.384383562,4.875721096,25.59660274,77.49726027,3.603260274,4.895382192,26.15855191,77.9036612,3.570163934,4.871816667,25.40068493,78.5650137,3.587315068,4.480558904
2021,AGO,26.29690411,77.35506849,3.496630137,4.970533973,26.36631148,77.60319672,3.482486339,4.845674317,26.32671233,77.28172603,3.616684932,4.897013425,25.86405479,78.74652055,3.384383562,4.875721096,25.59660274,77.49726027,3.603260274,4.895382192,26.15855191,77.9036612,3.570163934,4.871816667
2022,AGO,25.53150685,78.27610959,3.449780822,4.835713699,26.29690411,77.35506849,3.496630137,4.970533973,26.36631148,77.60319672,3.482486339,4.845674317,26.32671233,77.28172603,3.616684932,4.897013425,25.86405479,78.74652055,3.384383562,4.875721096,25.59660274,77.49726027,3.603260274,4.895382192
2023,AGO,25.87134247,78.89443836,3.348,4.610445205,25.53150685,78.27610959,3.449780822,4.835713699,26.29690411,77.35506849,3.496630137,4.970533973,26.36631148,77.60319672,3.482486339,4.845674317,26.32671233,77.28172603,3.616684932,4.897013425,25.86405479,78.74652055,3.384383562,4.875721096
2024,AGO,26.28234973,79.03439891,3.317540984,4.801490984,25.87134247,78.89443836,3.348,4.610445205,25.53150685,78.27610959,3.449780822,4.835713699,26.29690411,77.35506849,3.496630137,4.970533973,26.36631148,77.60319672,3.482486339,4.845674317,26.32671233,77.28172603,3.616684932,4.897013425
1995,ALB,10.84736986,74.51438356,2.997424658,4.110733973,12.45515068,69.2250137,2.940383562,4.415539178,11.77972603,67.46194521,3.054410959,4.382667671,11.38748634,69.92027322,2.948989071,4.214880328,10.6270411,71.76610959,2.976547945,4.136656438,12.24926027,66.55810959,2.853863014,4.284063014
1996,ALB,10.82229508,74.79797814,3.017431694,4.010747268,10.84736986,74.51438356,2.997424658,4.110733973,12.45515068,69.2250137,2.940383562,4.415539178,11.77972603,67.46194521,3.054410959,4.382667671,11.38748634,69.92027322,2.948989071,4.214880328,10.6270411,71.76610959,2.976547945,4.136656438
1997,ALB,11.29046575,68.68191781,3.165369863,4.386614795,10.82229508,74.79797814,3.017431694,4.010747268,10.84736986,74.51438356,2.997424658,4.110733973,12.45515068,69.2250137,2.940383562,4.415539178,11.77972603,67.46194521,3.054410959,4.382667671,11.38748634,69.92027322,2.948989071,4.214880328
1998,ALB,11.60936986,71.73652055,3.067369863,4.403746849,11.29046575,68.68191781,3.165369863,4.386614795,10.82229508,74.79797814,3.017431694,4.010747268,10.84736986,74.51438356,2.997424658,4.110733973,12.45515068,69.2250137,2.940383562,4.415539178,11.77972603,67.46194521,3.054410959,4.382667671
1999,ALB,12.11827397,71.70789041,2.908027397,4.263691507,11.60936986,71.73652055,3.067369863,4.403746849,11.29046575,68.68191781,3.165369863,4.386614795,10.82229508,74.79797814,3.017431694,4.010747268,10.84736986,74.51438356,2.997424658,4.110733973,12.45515068,69.2250137,2.940383562,4.415539178
2000,ALB,12.01907104,68.20114754,2.863989071,4.434604098,12.11827397,71.70789041,2.908027397,4.263691507,11.60936986,71.73652055,3.067369863,4.403746849,11.29046575,68.68191781,3.165369863,4.386614795,10.82229508,74.79797814,3.017431694,4.010747268,10.84736986,74.51438356,2.997424658,4.110733973
2001,ALB,11.83690411,70.3630411,3.144,4.397661644,12.01907104,68.20114754,2.863989071,4.434604098,12.11827397,71.70789041,2.908027397,4.263691507,11.60936986,71.73652055,3.067369863,4.403746849,11.29046575,68.68191781,3.165369863,4.386614795,10.82229508,74.79797814,3.017431694,4.010747268
2002,ALB,11.94893151,73.13282192,2.857506849,4.164315616,11.83690411,70.3630411,3.144,4.397661644,12.01907104,68.20114754,2.863989071,4.434604098,12.11827397,71.70789041,2.908027397,4.263691507,11.60936986,71.73652055,3.067369863,4.403746849,11.29046575,68.68191781,3.165369863,4.386614795
2003,ALB,12.15208219,68.75961644,3.231479452,4.509032055,11.94893151,73.13282192,2.857506849,4.164315616,11.83690411,70.3630411,3.144,4.397661644,12.01907104,68.20114754,2.863989071,4.434604098,12.11827397,71.70789041,2.908027397,4.263691507,11.60936986,71.73652055,3.067369863,4.403746849
2004,ALB,11.48978142,74.15901639,2.933825137,4.296685246,12.15208219,68.75961644,3.231479452,4.509032055,11.94893151,73.13282192,2.857506849,4.164315616,11.83690411,70.3630411,3.144,4.397661644,12.01907104,68.20114754,2.863989071,4.434604098,12.11827397,71.70789041,2.908027397,4.263691507
2005,ALB,11.09287671,72.55750685,2.868493151,4.319405753,11.48978142,74.15901639,2.933825137,4.296685246,12.15208219,68.75961644,3.231479452,4.509032055,11.94893151,73.13282192,2.857506849,4.164315616,11.83690411,70.3630411,3.144,4.397661644,12.01907104,68.20114754,2.863989071,4.434604098
2006,ALB,11.50912329,71.25413699,2.756958904,4.349240548,11.09287671,72.55750685,2.868493151,4.319405753,11.48978142,74.15901639,2.933825137,4.296685246,12.15208219,68.75961644,3.231479452,4.509032055,11.94893151,73.13282192,2.857506849,4.164315616,11.83690411,70.3630411,3.144,4.397661644
2007,ALB,12.80542466,67.48761644,2.799506849,4.445734521,11.50912329,71.25413699,2.756958904,4.349240548,11.09287671,72.55750685,2.868493151,4.319405753,11.48978142,74.15901639,2.933825137,4.296685246,12.15208219,68.75961644,3.231479452,4.509032055,11.94893151,73.13282192,2.857506849,4.164315616
2008,ALB,12.5186612,69.4029235,2.887185792,4.405209563,12.80542466,67.48761644,2.799506849,4.445734521,11.50912329,71.25413699,2.756958904,4.349240548,11.09287671,72.55750685,2.868493151,4.319405753,11.48978142,74.15901639,2.933825137,4.296685246,12.15208219,68.75961644,3.231479452,4.509032055
2009,ALB,12.42315068,72.76558904,2.790520548,4.290791233,12.5186612,69.4029235,2.887185792,4.405209563,12.80542466,67.48761644,2.799506849,4.445734521,11.50912329,71.25413699,2.756958904,4.349240548,11.09287671,72.55750685,2.868493151,4.319405753,11.48978142,74.15901639,2.933825137,4.296685246
